Avg Weekday Trip OD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday
Exit Station Two-Letter Code,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,PC,AN,ML,BE,
LF,14.6363636363636,7.09090909090909,7.86363636363636,5.5,33.3181818181818,5.54545454545455,27.6818181818182,55.6363636363636,59.8636363636364,4.09090909090909,10.2272727272727,6.63636363636364,2.54545454545455,1.40909090909091,4.04545454545455,2.0,0.727272727272727,0.636363636363636,107.863636363636,44.5,45.5,8.22727272727273,9.45454545454546,40.7727272727273,2.09090909090909,427.454545454545,316.954545454545,108.772727272727,101.136363636364,34.6818181818182,19.1818181818182,7.72727272727273,11.9090909090909,12.6818181818182,2.31818181818182,0.590909090909091,0.727272727272727,6.22727272727273,18.0454545454545,3.27272727272727,4.77272727272727,79.3636363636364,2.68181818181818,0.227272727272727,12.1363636363636,1.95454545454545,8.31818181818182,13.5454545454545,0.954545454545455,2.13636363636364,1705.63636363636
OR,7.90909090909091,6.0,3.04545454545455,6.04545454545455,24.6363636363636,3.40909090909091,21.7272727272727,34.5454545454545,49.2727272727273,2.09090909090909,8.04545454545454,4.18181818181818,5.0,2.13636363636364,2.31818181818182,0.636363636363636,1.54545454545455,3.5,30.0,15.2272727272727,24.9090909090909,7.95454545454545,6.45454545454545,29.4545454545455,2.72727272727273,398.454545454545,258.136363636364,89.4090909090909,89.8636363636364,25.5454545454545,13.2272727272727,10.7272727272727,9.81818181818182,16.3181818181818,2.22727272727273,1.59090909090909,0.5,1.40909090909091,9.40909090909091,2.09090909090909,4.0,55.4545454545455,3.77272727272727,0.272727272727273,6.5,0.454545454545455,5.31818181818182,8.40909090909091,2.0,2.54545454545455,1320.22727272727
RR,13.5909090909091,22.7272727272727,15.3181818181818,12.7272727272727,19.3181818181818,6.59090909090909,38.7727272727273,83.3636363636364,84.6363636363636,14.3636363636364,31.3636363636364,16.4090909090909,16.2727272727273,12.0909090909091,9.54545454545454,3.5,5.68181818181818,6.63636363636364,68.4090909090909,69.9545454545455,87.9090909090909,35.7727272727273,38.3636363636364,10.4545454545455,18.2272727272727,587.590909090909,425.409090909091,210.0,270.772727272727,109.545454545455,64.8636363636364,35.3636363636364,28.5909090909091,27.0,3.0,1.72727272727273,4.36363636363636,9.18181818181818,32.7727272727273,5.18181818181818,8.72727272727273,102.272727272727,6.27272727272727,1.5,10.4090909090909,3.68181818181818,10.8636363636364,27.7727272727273,4.95454545454545,7.68181818181818,2741.5
OW,23.2727272727273,25.0454545454545,5.09090909090909,8.59090909090909,44.8636363636364,15.0,35.7272727272727,41.5909090909091,48.6363636363636,16.6363636363636,72.5,53.0,24.1818181818182,27.9090909090909,26.4545454545455,12.0,10.8181818181818,9.09090909090909,11.1818181818182,7.77272727272727,8.86363636363636,2.77272727272727,3.36363636363636,17.0,23.1363636363636,846.681818181818,536.5,504.136363636364,447.409090909091,223.136363636364,133.954545454545,36.7272727272727,45.9090909090909,44.8636363636364,6.5,9.0,17.5,2.81818181818182,6.95454545454545,8.31818181818182,17.0909090909091,74.9545454545455,15.6363636363636,6.72727272727273,5.18181818181818,5.13636363636364,8.54545454545454,11.7727272727273,6.90909090909091,9.13636363636364,3606.0
EM,261.318181818182,466.136363636364,292.409090909091,348.454545454545,531.954545454545,319.454545454545,529.318181818182,748.5,685.909090909091,375.954545454545,455.272727272727,198.636363636364,436.136363636364,323.5,208.5,161.454545454545,270.545454545455,333.454545454545,389.545454545455,618.909090909091,680.318181818182,488.545454545455,455.954545454545,643.0,981.0,89.8636363636364,26.9090909090909,115.636363636364,189.545454545455,484.454545454545,766.181818181818,505.272727272727,539.454545454545,621.772727272727,229.363636363636,264.909090909091,789.272727272727,109.772727272727,331.318181818182,191.681818181818,186.363636363636,301.954545454545,191.545454545455,330.363636363636,52.2727272727273,119.454545454545,35.7727272727273,256.5,160.727272727273,172.954545454545,18267.5
MT,209.909090909091,365.5,221.5,237.227272727273,346.181818181818,235.545454545455,392.681818181818,508.181818181818,453.681818181818,281.636363636364,357.318181818182,142.136363636364,359.181818181818,297.045454545455,159.272727272727,135.818181818182,194.454545454545,201.590909090909,293.318181818182,450.681818181818,455.454545454545,316.590909090909,261.409090909091,440.681818181818,633.0,28.7272727272727,70.5,44.8636363636364,112.5,456.863636363636,826.318181818182,579.954545454545,728.909090909091,766.0,260.681818181818,189.0,499.590909090909,85.0454545454545,254.727272727273,231.363636363636,218.0,260.909090909091,213.909090909091,200.954545454545,29.0454545454545,87.9545454545455,36.5909090909091,218.727272727273,117.909090909091,121.772727272727,14590.8181818182
PL,226.045454545455,360.954545454545,135.727272727273,121.818181818182,357.454545454545,139.636363636364,288.318181818182,357.272727272727,373.409090909091,231.545454545455,357.545454545455,164.863636363636,272.954545454545,232.590909090909,135.181818181818,83.8636363636364,108.636363636364,102.727272727273,210.0,203.0,189.5,108.136363636364,86.5,195.045454545455,498.090909090909,142.090909090909,48.7727272727273,77.8636363636364,87.5909090909091,433.136363636364,639.227272727273,440.954545454545,857.909090909091,604.545454545455,191.818181818182,113.727272727273,244.5,54.4090909090909,253.045454545455,163.272727272727,135.863636363636,760.045454545455,126.954545454545,83.2272727272727,40.3636363636364,44.4545454545455,40.7727272727273,163.227272727273,64.1818181818182,75.7272727272727,11428.5
CC,172.818181818182,276.0,138.863636363636,172.545454545455,302.818181818182,186.636363636364,327.545454545455,376.772727272727,338.5,211.363636363636,343.227272727273,154.227272727273,216.409090909091,173.0,104.454545454545,78.0909090909091,91.9545454545455,91.5,177.227272727273,189.272727272727,170.363636363636,93.0909090909091,82.2727272727273,232.5,462.590909090909,165.409090909091,108.863636363636,84.1363636363636,59.0454545454545,242.363636363636,408.045454545455,326.590909090909,533.5,491.818181818182,196.409090909091,111.863636363636,219.863636363636,66.0,156.863636363636,198.863636363636,155.818181818182,295.318181818182,146.409090909091,77.0,19.0909090909091,44.4545454545455,40.6818181818182,171.818181818182,50.5454545454545,70.4090909090909,9605.22727272727
16,97.8636363636364,123.227272727273,51.3181818181818,73.4090909090909,163.545454545455,86.1818181818182,188.045454545455,205.590909090909,172.5,102.045454545455,169.636363636364,61.6363636363636,87.0454545454545,66.4545454545455,38.9545454545455,27.0909090909091,34.5909090909091,33.3636363636364,54.1363636363636,56.6363636363636,51.1818181818182,32.2727272727273,23.1363636363636,100.5,228.909090909091,452.318181818182,433.545454545455,497.136363636364,254.954545454545,30.1818181818182,102.318181818182,203.090909090909,339.5,296.681818181818,111.454545454545,29.8181818181818,64.6818181818182,19.0454545454545,80.3181818181818,77.0454545454545,83.6363636363636,186.181818181818,80.7727272727273,30.0909090909091,8.77272727272727,19.4090909090909,12.1818181818182,64.1363636363636,18.4545454545455,23.4545454545455,5848.45454545455
24,123.181818181818,92.6363636363636,37.9545454545455,41.7272727272727,142.454545454545,47.1363636363636,114.909090909091,146.863636363636,144.136363636364,75.6818181818182,118.090909090909,68.9545454545455,63.2727272727273,49.5,26.1818181818182,31.0,13.9090909090909,16.8181818181818,47.7272727272727,36.9545454545455,33.9090909090909,19.5909090909091,15.3181818181818,64.0909090909091,145.772727272727,667.772727272727,698.272727272727,747.772727272727,451.863636363636,98.4545454545455,30.0,174.409090909091,290.863636363636,270.090909090909,93.9090909090909,15.9545454545455,38.0909090909091,13.2727272727273,68.4090909090909,65.7272727272727,85.2727272727273,119.363636363636,70.9090909090909,15.1363636363636,9.04545454545454,12.5,12.8181818181818,44.6363636363636,9.90909090909091,12.6818181818182,5834.90909090909
